Generation_0;[13, 13, 13, 9];10.55
Generation_1;[13, 13, 13, 9];11.0
Generation_2;[13, 12, 12, 11];10.75
Generation_3;[13, 12, 12, 11];10.3
Generation_4;[13, 12, 12, 13];10.7
Generation_5;[12, 11, 11, 11];9.75
Generation_6;[15, 12, 12, 10];10.45
Generation_7;[22, 19, 19, 14];13.3
Generation_8;[26, 25, 24, 20];20.25
Generation_9;[28, 26, 26, 23];20.9
Generation_10;[26, 25, 25, 19];20.95
Generation_11;[26, 26, 25, 26];21.55
Generation_12;[26, 26, 25, 23];20.2
Generation_13;[26, 25, 24, 18];19.7
Generation_14;[26, 25, 25, 22];20.65
Generation_15;[23, 23, 22, 22];19.4
Generation_16;[149, 23, 23, 23];26.2
Generation_17;[200, 200, 198, 200];52.65
